Date,gross_return,net_return,turnover,tcost
2013-12-05,0.0013081312164328596,0.0013081312164328596,0.0,0.0
2013-12-06,0.009021330560027168,0.009021330560027168,0.0,0.0
2013-12-09,0.0009756689351228826,0.0009756689351228826,0.0,0.0
2013-12-10,-0.006351945519012631,-0.006351945519012631,0.0,0.0
2013-12-11,-0.011916275023832324,-0.011916275023832324,0.0,0.0
2013-12-12,0.00016216432899861875,0.00016216432899861875,0.0,0.0
2013-12-13,-0.000708795766240172,-0.000708795766240172,0.0,0.0
2013-12-16,0.011570658191206772,0.011570658191206772,0.0,0.0
2013-12-17,-0.00014974128365543128,-0.00014974128365543128,0.0,0.0
2013-12-18,0.008847598724702529,0.008847598724702529,0.0,0.0
2013-12-19,-0.008726333380831017,-0.008726333380831017,0.0,0.0
2013-12-20,0.011465195432780288,0.011465195432780288,0.0,0.0
2013-12-23,0.01209968734955927,0.01209968734955927,0.0,0.0
2013-12-24,0.005196899379825773,0.005196899379825773,0.0,0.0
2013-12-26,0.003634659962351675,0.003634659962351675,0.0,0.0
2013-12-27,-0.0004866938465033653,-0.0004866938465033653,0.0,0.0
2013-12-30,0.0016307995750148262,0.0016307995750148262,0.0,0.0
2013-12-31,0.0024883045027368398,0.0024883045027368398,0.0,0.0
2014-01-02,-0.011241506937464235,-0.011326380002354993,0.08487306489075855,8.487306489075854e-05
2014-01-03,0.005328119887605207,0.005328119887605207,0.0,0.0
2014-01-06,-0.004805934904389742,-0.004805934904389742,0.0,0.0
2014-01-07,0.006279216878827214,0.006279216878827214,0.0,0.0
2014-01-08,0.005415770991842492,0.005415770991842492,0.0,0.0
2014-01-09,0.00026211470570450496,0.00026211470570450496,0.0,0.0
2014-01-10,0.006232415818806729,0.006232415818806729,0.0,0.0
2014-01-13,-0.012530586339868097,-0.012530586339868097,0.0,0.0
2014-01-14,0.015153945156836551,0.015153945156836551,0.0,0.0
2014-01-15,0.005352828914947711,0.005352828914947711,0.0,0.0
2014-01-16,-0.00022352575154813457,-0.00022352575154813457,0.0,0.0
2014-01-17,-0.001010989930903066,-0.001010989930903066,0.0,0.0
2014-01-21,0.00547961013635606,0.00547961013635606,0.0,0.0
2014-01-22,0.013187848194735105,0.013187848194735105,0.0,0.0
2014-01-23,-0.006422137069305151,-0.006422137069305151,0.0,0.0
2014-01-24,-0.02407542563317997,-0.02407542563317997,0.0,0.0
2014-01-27,-0.00582595665628266,-0.00582595665628266,0.0,0.0
2014-01-28,0.012127471368777874,0.012127471368777874,0.0,0.0
2014-01-29,-0.014792099894697307,-0.014792099894697307,0.0,0.0
2014-01-30,0.01757938804913199,0.01757938804913199,0.0,0.0
2014-01-31,-0.003182928048476144,-0.003182928048476144,0.0,0.0
2014-02-03,-0.0282863751867517,-0.02849888964432265,0.2125144575709514,0.0002125144575709514
2014-02-04,0.0047184922795574765,0.0047184922795574765,0.0,0.0
2014-02-05,0.00041497608855009256,0.00041497608855009256,0.0,0.0
2014-02-06,0.012054183634925874,0.012054183634925874,0.0,0.0
2014-02-07,0.015836808878718977,0.015836808878718977,0.0,0.0
2014-02-10,0.0015575586704073656,0.0015575586704073656,0.0,0.0
2014-02-11,0.00785750314835327,0.00785750314835327,0.0,0.0
2014-02-12,0.0032226163909728186,0.0032226163909728186,0.0,0.0
2014-02-13,0.012603788300501257,0.012603788300501257,0.0,0.0
2014-02-14,0.005559995310546443,0.005559995310546443,0.0,0.0
2014-02-18,0.007747790171743069,0.007747790171743069,0.0,0.0
2014-02-19,-0.0023627929567993002,-0.0023627929567993002,0.0,0.0
2014-02-20,0.011703249388025704,0.011703249388025704,0.0,0.0
2014-02-21,-0.002459651663474194,-0.002459651663474194,0.0,0.0
2014-02-24,0.0036307702268058677,0.0036307702268058677,0.0,0.0
2014-02-25,-0.0003193110956432449,-0.0003193110956432449,0.0,0.0
2014-02-26,0.00817329020307215,0.00817329020307215,0.0,0.0
2014-02-27,0.004469375196082386,0.004469375196082386,0.0,0.0
2014-02-28,-0.0029186013549048193,-0.0029186013549048193,0.0,0.0
2014-03-03,-0.010899008405580658,-0.011040039105956707,0.14103070037604995,0.00014103070037604993
2014-03-04,0.025909175294300833,0.025909175294300833,0.0,0.0
2014-03-05,-0.001281275394270646,-0.001281275394270646,0.0,0.0
2014-03-06,0.0009486990085252338,0.0009486990085252338,0.0,0.0
2014-03-07,-0.0022618651011954947,-0.0022618651011954947,0.0,0.0
2014-03-10,-0.004193368974703827,-0.004193368974703827,0.0,0.0
2014-03-11,-0.009700669574900627,-0.009700669574900627,0.0,0.0
2014-03-12,0.0013493846051088445,0.0013493846051088445,0.0,0.0
2014-03-13,-0.01350904671174874,-0.01350904671174874,0.0,0.0
2014-03-14,0.0048180647167061445,0.0048180647167061445,0.0,0.0
2014-03-17,0.004533971692756408,0.004533971692756408,0.0,0.0
2014-03-18,0.011509815416406154,0.011509815416406154,0.0,0.0
2014-03-19,-0.006605142395764509,-0.006605142395764509,0.0,0.0
2014-03-20,0.0009238037581591181,0.0009238037581591181,0.0,0.0
2014-03-21,-0.006586532019027637,-0.006586532019027637,0.0,0.0
